,ACC_IN_BETWEEN_UNQ,GROUPS
0,LMO,2907
1,SL,39199
2,SMH,116
3,SM,22369
4,LM,449335
5,SHO,10
6,SO,2840
7,LMH,7451
8,SLO,91
9,MHO,173
10,L,599637
11,M,280592
12,HO,5461
13,MO,33492
14,O,18625
15,LMHO,58
16,LH,152135
17,SLM,928
18,S,11860
19,SLH,189
20,SLMO,17
21,SLMH,24
22,LO,78748
23,MH,85437
24,SH,3880
25,LHO,328
26,H,40299
27,SMO,38
