,YEAR_OCCUR,VALS
0,2012,10299
1,2013,20545
2,2014,19051
3,2015,19788
4,2016,25195
5,2017,27291
6,2018,28220
7,2019,27726
8,2020,19747
9,2021,22715
10,2022,21325
11,2023,19564
