,HOUR_OCCUR,VALS
0,0,1880
1,1,697
2,2,453
3,3,365
4,4,342
5,5,373
6,6,686
7,7,1154
8,8,1894
9,9,1877
10,10,1829
11,11,2202
12,12,2636
13,13,2882
14,14,3307
15,15,3472
16,16,3907
17,17,4437
18,18,4290
19,19,3872
20,20,3276
21,21,2803
22,22,2224
23,23,1568
