,PED_ACTION,HOUR_OCCUR,VALS
135,Emerging from in Front of/Behind Parked Vehicle,7,76
136,Emerging from in Front of/Behind Parked Vehicle,22,72
137,Emerging from in Front of/Behind Parked Vehicle,23,55
138,Emerging from in Front of/Behind Parked Vehicle,1,33
139,Emerging from in Front of/Behind Parked Vehicle,6,31
140,Emerging from in Front of/Behind Parked Vehicle,2,20
141,Emerging from in Front of/Behind Parked Vehicle,4,18
142,Emerging from in Front of/Behind Parked Vehicle,5,17
143,Emerging from in Front of/Behind Parked Vehicle,3,15
144,Getting On/Off Vehicle Other Than School Bus,18,68
145,Getting On/Off Vehicle Other Than School Bus,15,66
146,Getting On/Off Vehicle Other Than School Bus,14,65
147,Getting On/Off Vehicle Other Than School Bus,16,64
148,Getting On/Off Vehicle Other Than School Bus,17,63
149,Getting On/Off Vehicle Other Than School Bus,21,59
150,Getting On/Off Vehicle Other Than School Bus,12,58
151,Getting On/Off Vehicle Other Than School Bus,10,57
152,Getting On/Off Vehicle Other Than School Bus,8,56
153,Getting On/Off Vehicle Other Than School Bus,13,55
154,Getting On/Off Vehicle Other Than School Bus,19,54
155,Getting On/Off Vehicle Other Than School Bus,11,52
156,Getting On/Off Vehicle Other Than School Bus,20,49
157,Getting On/Off Vehicle Other Than School Bus,22,45
158,Getting On/Off Vehicle Other Than School Bus,23,43
159,Getting On/Off Vehicle Other Than School Bus,0,42
160,Getting On/Off Vehicle Other Than School Bus,9,38
161,Getting On/Off Vehicle Other Than School Bus,7,35
162,Getting On/Off Vehicle Other Than School Bus,1,31
163,Getting On/Off Vehicle Other Than School Bus,2,31
164,Getting On/Off Vehicle Other Than School Bus,4,29
165,Getting On/Off Vehicle Other Than School Bus,3,20
166,Getting On/Off Vehicle Other Than School Bus,6,16
167,Getting On/Off Vehicle Other Than School Bus,5,13
168,Going to/From Stopped School Bus,16,13
169,Going to/From Stopped School Bus,8,10
170,Going to/From Stopped School Bus,15,8
171,Going to/From Stopped School Bus,17,6
172,Going to/From Stopped School Bus,14,5
173,Going to/From Stopped School Bus,13,4
174,Going to/From Stopped School Bus,18,4
175,Going to/From Stopped School Bus,7,4
176,Going to/From Stopped School Bus,9,4
177,Going to/From Stopped School Bus,0,2
178,Going to/From Stopped School Bus,6,2
179,Going to/From Stopped School Bus,10,2
180,Going to/From Stopped School Bus,23,1
181,Going to/From Stopped School Bus,20,1
182,Not in Roadway,15,352
183,Not in Roadway,17,282
184,Not in Roadway,16,268
185,Not in Roadway,18,255
186,Not in Roadway,14,245
187,Not in Roadway,12,234
188,Not in Roadway,11,230
189,Not in Roadway,13,226
190,Not in Roadway,10,203
191,Not in Roadway,19,195
192,Not in Roadway,8,193
193,Not in Roadway,20,183
194,Not in Roadway,21,151
195,Not in Roadway,9,144
196,Not in Roadway,0,98
197,Not in Roadway,22,92
198,Not in Roadway,7,74
199,Not in Roadway,23,61
200,Not in Roadway,2,53
201,Not in Roadway,6,51
202,Not in Roadway,4,43
203,Not in Roadway,1,39
204,Not in Roadway,5,26
205,Not in Roadway,3,19
206,Other Actions in Roadway,17,427
207,Other Actions in Roadway,16,407
208,Other Actions in Roadway,15,402
209,Other Actions in Roadway,18,400
210,Other Actions in Roadway,12,363
211,Other Actions in Roadway,19,354
212,Other Actions in Roadway,14,349
213,Other Actions in Roadway,13,347
214,Other Actions in Roadway,20,321
215,Other Actions in Roadway,11,303
216,Other Actions in Roadway,10,264
217,Other Actions in Roadway,21,247
218,Other Actions in Roadway,0,246
219,Other Actions in Roadway,9,243
220,Other Actions in Roadway,8,239
221,Other Actions in Roadway,22,230
222,Other Actions in Roadway,23,188
223,Other Actions in Roadway,7,157
224,Other Actions in Roadway,1,151
225,Other Actions in Roadway,4,131
226,Other Actions in Roadway,3,107
227,Other Actions in Roadway,2,106
228,Other Actions in Roadway,6,102
229,Other Actions in Roadway,5,76
230,Playing in Roadway,18,63
231,Playing in Roadway,15,61
232,Playing in Roadway,17,53
233,Playing in Roadway,16,49
234,Playing in Roadway,19,40
235,Playing in Roadway,20,40
236,Playing in Roadway,14,36
237,Playing in Roadway,13,18
238,Playing in Roadway,21,18
239,Playing in Roadway,12,13
240,Playing in Roadway,0,10
241,Playing in Roadway,23,9
242,Playing in Roadway,22,8
243,Playing in Roadway,8,7
244,Playing in Roadway,11,6
245,Playing in Roadway,10,4
246,Playing in Roadway,4,4
247,Playing in Roadway,7,4
248,Playing in Roadway,9,4
249,Playing in Roadway,1,2
250,Playing in Roadway,3,1
251,Playing in Roadway,5,1
252,Pushing/Working on Car,18,15
253,Pushing/Working on Car,12,14
254,Pushing/Working on Car,13,13
255,Pushing/Working on Car,15,13
256,Pushing/Working on Car,16,13
257,Pushing/Working on Car,11,13
258,Pushing/Working on Car,19,12
259,Pushing/Working on Car,10,12
260,Pushing/Working on Car,8,12
261,Pushing/Working on Car,20,11
262,Pushing/Working on Car,17,10
263,Pushing/Working on Car,14,9
264,Pushing/Working on Car,21,8
265,Pushing/Working on Car,6,8
266,Pushing/Working on Car,9,8
267,Pushing/Working on Car,1,6
268,Pushing/Working on Car,5,5
269,Pushing/Working on Car,22,5
270,Pushing/Working on Car,0,5
271,Pushing/Working on Car,23,3
272,Pushing/Working on Car,7,3
273,Pushing/Working on Car,4,2
274,Pushing/Working on Car,3,1
275,Pushing/Working on Car,2,1
276,Riding/Walking Along Highway Against Traffic,0,21
277,Riding/Walking Along Highway Against Traffic,17,17
278,Riding/Walking Along Highway Against Traffic,18,16
279,Riding/Walking Along Highway Against Traffic,22,16
280,Riding/Walking Along Highway Against Traffic,20,16
281,Riding/Walking Along Highway Against Traffic,15,15
282,Riding/Walking Along Highway Against Traffic,14,13
283,Riding/Walking Along Highway Against Traffic,8,12
284,Riding/Walking Along Highway Against Traffic,16,12
285,Riding/Walking Along Highway Against Traffic,12,12
286,Riding/Walking Along Highway Against Traffic,21,12
287,Riding/Walking Along Highway Against Traffic,13,11
288,Riding/Walking Along Highway Against Traffic,19,10
289,Riding/Walking Along Highway Against Traffic,10,9
290,Riding/Walking Along Highway Against Traffic,23,9
291,Riding/Walking Along Highway Against Traffic,11,7
292,Riding/Walking Along Highway Against Traffic,9,7
293,Riding/Walking Along Highway Against Traffic,7,6
294,Riding/Walking Along Highway Against Traffic,6,5
